index,rank,song,artist_base,artist_all,year,artist_featured
3,4,"oh, pretty woman",roy orbison,roy orbison,1964,
4,5,i get around,the beach boys,the beach boys,1964,
5,6,everybody loves somebody,dean martin,dean martin,1964,
6,7,my guy,mary wells,mary wells,1964,
7,8,we'll sing in the sunshine,gale garnett,gale garnett,1964,
8,9,last kiss,j. frank wilson & the cavaliers,j. frank wilson & the cavaliers,1964,
9,10,where did our love go,the supremes,the supremes,1964,
10,11,people,barbra streisand,barbra streisand,1964,
11,12,java,al hirt,al hirt,1964,
12,13,a hard day's night,the beatles,the beatles,1964,
13,14,love me do,the beatles,the beatles,1964,
14,15,do wah diddy diddy,manfred mann,manfred mann,1964,
15,16,please please me,the beatles,the beatles,1964,
16,17,dancing in the street,martha and the vandellas,martha and the vandellas,1964,
17,18,little children,billy j. kramer,billy j. kramer  &  the dakotas,1964,
18,19,love me with all your heart (cuando calienta el sol),the ray charles singers,the ray charles singers,1964,
19,20,under the boardwalk,the drifters,the drifters,1964,
20,21,chapel of love,the dixie cups,the dixie cups,1964,
21,22,suspicion,terry stafford,terry stafford,1964,
22,23,glad all over,the dave clark five,the dave clark five,1964,
23,24,rag doll,the four seasons,the four seasons,1964,
24,25,dawn (go away),the four seasons,the four seasons,1964,
25,26,bread and butter,the newbeats,the newbeats,1964,
26,27,it hurts to be in love,gene pitney,gene pitney,1964,
27,28,dead man's curve,jan and dean,jan and dean,1964,
28,29,come a little bit closer,jay and the americans,jay and the americans,1964,
29,30,a world without love,peter and gordon,peter and gordon,1964,
30,31,have i the right?,the honeycombs,the honeycombs,1964,
31,32,don't let the rain come down (crooked little man),the serendipity singers,the serendipity singers,1964,
32,33,baby love,the supremes,the supremes,1964,
33,34,let it be me,betty everett,betty everett  &  jerry butler,1964,
34,35,wishin' and hopin',dusty springfield,dusty springfield,1964,
35,36,you don't own me,lesley gore,lesley gore,1964,
36,37,walk on by,dionne warwick,dionne warwick,1964,
37,38,the house of the rising sun,the animals,the animals,1964,
38,39,g.t.o.,ronny & the daytonas,ronny & the daytonas,1964,
39,40,twist and shout,the beatles,the beatles,1964,
40,41,memphis,johnny rivers,johnny rivers,1964,
41,42,white on white,danny williams,danny williams,1964,
42,43,hey little cobra,bruce & terry,the rip chords,1964,
43,44,the shoop shoop song (it's in his kiss),betty everett,betty everett,1964,
44,45,bits and pieces,the dave clark five,the dave clark five,1964,
45,46,my boy lollipop,millie small,millie small,1964,
46,47,"um, um, um, um, um, um",major lance,major lance,1964,
47,48,the little old lady from pasadena,jan and dean,jan and dean,1964,
48,49,don't let the sun catch you crying,gerry and the pacemakers,gerry and the pacemakers,1964,
49,50,a summer song,chad & jeremy,chad & jeremy,1964,
50,51,the girl from ipanema,stan getz,stan getz  &  astrud gilberto,1964,
51,52,can't buy me love,the beatles,the beatles,1964,
52,53,remember (walking in the sand),the shangri-las,the shangri-las,1964,
53,54,c'mon and swim,bobby freeman,bobby freeman,1964,
54,55,do you want to know a secret,the beatles,the beatles,1964,
55,56,keep on pushing,the impressions,the impressions,1964,
56,57,baby i need your loving,the four tops,the four tops,1964,
57,58,navy blue,diane renay,diane renay,1964,
58,59,diane,the bachelors,the bachelors,1964,
59,60,out of limits,the marketts,the marketts,1964,
60,61,little honda,the hondells,the hondells,1964,
61,62,chug-a-lug,roger miller,roger miller,1964,
62,63,see the funny little clown,bobby goldsboro,bobby goldsboro,1964,
63,64,because,the dave clark five,the dave clark five,1964,
64,65,(just like) romeo and juliet,the reflections,the reflections,1964,
65,66,for you,rick nelson,rick nelson,1964,
66,67,today,the new christy minstrels,the new christy minstrels,1964,
67,68,can't you see that she's mine,the dave clark five,the dave clark five,1964,
68,69,leader of the pack,the shangri-las,the shangri-las,1964,
69,70,funny how time slips away,joe hinton,joe hinton,1964,
70,71,the way you do the things you do,the temptations,the temptations,1964,
71,72,anyone who had a heart,dionne warwick,dionne warwick,1964,
72,73,i love you more and more every day,al martino,al martino,1964,
73,74,it's over,roy orbison,roy orbison,1964,
74,75,ronnie,the four seasons,the four seasons,1964,
75,76,surfin' bird,the trashmen,the trashmen,1964,
76,77,what kind of fool (do you think i am),the tams,the tams,1964,
77,78,the door is still open to my heart,dean martin,dean martin,1964,
78,79,you really got me,the kinks,the kinks,1964,
79,80,the shelter of your arms,sammy davis jr.,sammy davis jr.,1964,
80,81,i'm so proud,the impressions,the impressions,1964,
81,82,i wanna love him so bad,the jelly beans,the jelly beans,1964,
82,83,dang me,roger miller,roger miller,1964,
83,84,cotton candy,al hirt,al hirt,1964,
84,85,(you don't know) how glad i am,nancy wilson,nancy wilson,1964,
85,86,money (that's what i want),the kingsmen,the kingsmen,1964,
86,87,don't throw your love away,the searchers,the searchers,1964,
87,88,hi-heel sneakers,tommy tucker,tommy tucker,1964,
88,89,how do you do it?,gerry and the pacemakers,gerry and the pacemakers,1964,
89,90,"walk, don't run '64",the ventures,the ventures,1964,
90,91,do you love me,the dave clark five,the dave clark five,1964,
91,92,shangri-la,robert maxwell,robert maxwell,1964,
92,93,haunted house,jumpin' gene simmons,jumpin' gene simmons,1964,
93,94,steal away,jimmy hughes,jimmy hughes,1964,
94,95,i saw her standing there,the beatles,the beatles,1964,
95,96,a fool never learns,andy williams,andy williams,1964,
96,97,bad to me,billy j. kramer,billy j. kramer  &  the dakotas,1964,
97,98,there! i've said it again,bobby vinton,bobby vinton,1964,
98,99,louie louie,the kingsmen,the kingsmen,1964,
99,100,needles and pins,the searchers,the searchers,1964,
0,1,wooly bully,sam the sham,sam the sham and the pharaohs,1965,
1,2,i can't help myself (sugar pie honey bunch),four tops,four tops,1965,
2,3,(i can't get no) satisfaction,the rolling stones,the rolling stones,1965,
3,4,you were on my mind,we five,we five,1965,
4,5,you've lost that lovin' feelin',the righteous brothers,the righteous brothers,1965,
5,6,downtown,petula clark,petula clark,1965,
6,7,help!,the beatles,the beatles,1965,
7,8,can't you hear my heartbeat,herman's hermits,herman's hermits,1965,
8,9,crying in the chapel,elvis presley,elvis presley,1965,
9,10,my girl,the temptations,the temptations,1965,
10,11,"help me, rhonda",the beach boys,the beach boys,1965,
11,12,king of the road,roger miller,roger miller,1965,
12,13,the birds and the bees,jewel akens,jewel akens,1965,
13,14,"hold me, thrill me, kiss me",mel carter,mel carter,1965,
14,15,shotgun,junior walker,junior walker & the all stars,1965,
15,16,i got you babe,sonny & cher,sonny & cher,1965,
16,17,this diamond ring,gary lewis & the playboys,gary lewis & the playboys,1965,
17,18,the 'in' crowd,ramsey lewis,ramsey lewis trio,1965,
18,19,"mrs. brown, you've got a lovely daughter",herman's hermits,herman's hermits,1965,
19,20,stop! in the name of love,the supremes,the supremes,1965,
20,21,unchained melody,the righteous brothers,the righteous brothers,1965,
21,22,silhouettes,herman's hermits,herman's hermits,1965,
22,23,i'll never find another you,the seekers,the seekers,1965,
23,24,cara mia,jay and the americans,jay and the americans,1965,
24,25,mr. tambourine man,the byrds,the byrds,1965,
25,26,cast your fate to the wind,sounds orchestral,sounds orchestral,1965,
26,27,"yes, i'm ready",barbara mason,barbara mason,1965,
27,28,what's new pussycat?,tom jones,tom jones,1965,
28,29,eve of destruction,barry mcguire,barry mcguire,1965,
29,30,hang on sloopy,the mccoys,the mccoys,1965,
30,31,ticket to ride,the beatles,the beatles,1965,
31,32,red roses for a blue lady,bert kaempfert,bert kaempfert,1965,
32,33,papa's got a brand new bag,james brown,james brown,1965,
33,34,game of love,wayne fontana,wayne fontana  &  the mindbenders,1965,
34,35,the name game,shirley ellis,shirley ellis,1965,
35,36,i know a place,petula clark,petula clark,1965,
36,37,back in my arms again,the supremes,the supremes,1965,
37,38,baby i'm yours,barbara lewis,barbara lewis,1965,
38,39,the jolly green giant,the kingsmen,the kingsmen,1965,
39,40,"hush, hush, sweet charlotte",patti page,patti page,1965,
40,41,like a rolling stone,bob dylan,bob dylan,1965,
41,42,i'm telling you now,freddie and the dreamers,freddie and the dreamers,1965,
42,43,ferry cross the mersey,gerry and the pacemakers,gerry and the pacemakers,1965,
43,44,just once in my life,the righteous brothers,the righteous brothers,1965,
44,45,the seventh son,johnny rivers,johnny rivers,1965,
45,46,"i'm henry the eighth, i am",herman's hermits,herman's hermits,1965,
46,47,a walk in the black forest,horst jankowski,horst jankowski,1965,
47,48,for your love,the yardbirds,the yardbirds,1965,
48,49,california girls,the beach boys,the beach boys,1965,
49,50,go now,the moody blues,the moody blues,1965,
50,51,goldfinger,shirley bassey,shirley bassey,1965,
51,52,down in the boondocks,billy joe royal,billy joe royal,1965,
52,53,baby the rain must fall,glenn yarbrough,glenn yarbrough,1965,
53,54,catch us if you can,the dave clark five,the dave clark five,1965,
54,55,eight days a week,the beatles,the beatles,1965,
55,56,just a little,the beau brummels,the beau brummels,1965,
56,57,you turn me on,ian whitcomb,ian whitcomb,1965,
57,58,i'll be doggone,marvin gaye,marvin gaye,1965,
58,59,save your heart for me,gary lewis & the playboys,gary lewis & the playboys,1965,
59,60,tired of waiting for you,the kinks,the kinks,1965,
60,61,count me in,gary lewis & the playboys,gary lewis & the playboys,1965,
61,62,all day and all of the night,the kinks,the kinks,1965,
62,63,what the world needs now is love,jackie deshannon,jackie deshannon,1965,
63,64,it's not unusual,tom jones,tom jones,1965,
64,65,she's about a mover,sir douglas quintet,sir douglas quintet,1965,
65,66,shake,sam cooke,sam cooke,1965,
66,67,wonderful world,herman's hermits,herman's hermits,1965,
67,68,nowhere to run,martha and the vandellas,martha and the vandellas,1965,
68,69,heart full of soul,the yardbirds,the yardbirds,1965,
69,70,love potion no. 9,the searchers,the searchers,1965,
70,71,laurie (strange things happen),dickey lee,dickey lee,1965,
71,72,baby don't go,sonny & cher,sonny & cher,1965,
72,73,it ain't me babe,the turtles,the turtles,1965,
73,74,tell her no,the zombies,the zombies,1965,
74,75,i go to pieces,peter and gordon,peter and gordon,1965,
75,76,red roses for a blue lady,vic dana,vic dana,1965,
76,77,don't just stand there,patty duke,patty duke,1965,
77,78,the tracks of my tears,the miracles,the miracles,1965,
78,79,too many rivers,brenda lee,brenda lee,1965,
79,80,i like it like that,the dave clark five,the dave clark five,1965,
80,81,little things,bobby goldsboro,bobby goldsboro,1965,
81,82,true love ways,peter and gordon,peter and gordon,1965,
82,83,it's the same old song,four tops,four tops,1965,
83,84,you've got your troubles,the fortunes,the fortunes,1965,
84,85,hold what you've got,joe tex,joe tex,1965,
85,86,we gotta get out of this place,the animals,the animals,1965,
86,87,just my style,the beau brummels,the beau brummels,1965,
87,88,the last time,the rolling stones,the rolling stones,1965,
88,89,do you believe in magic,the lovin' spoonful,the lovin' spoonful,1965,
89,90,all i really want to do,cher,cher,1965,
90,91,take me back,little anthony and the imperials,little anthony and the imperials,1965,
91,92,i want candy,the strangeloves,the strangeloves,1965,
92,93,ooo baby baby,the miracles,the miracles,1965,
93,94,laugh at me,sonny bono,sonny,1965,
94,95,treat her right,roy head,roy head,1965,
95,96,the race is on,jack jones,jack jones,1965,
96,97,i'm a fool,"dino, desi & billy","dino, desi & billy",1965,
97,98,the boy from new york city,the ad libs,the ad libs,1965,
98,99,keep searchin' (we'll follow the sun),del shannon,del shannon,1965,
99,100,how sweet it is (to be loved by you),marvin gaye,marvin gaye,1965,
0,1,california dreamin',the mamas and the papas,the mamas & the papas,1966,
1,2,96 tears,? and the mysterians,? and the mysterians,1966,
2,3,what becomes of the brokenhearted,jimmy ruffin,jimmy ruffin,1966,
3,4,last train to clarksville,the monkees,the monkees,1966,
4,5,reach out i'll be there,four tops,four tops,1966,
5,6,these boots are made for walkin',nancy sinatra,nancy sinatra,1966,
6,7,cherish,the association,the association,1966,
7,8,strangers in the night,frank sinatra,frank sinatra,1966,
8,9,kicks,paul revere & the raiders,paul revere & the raiders,1966,
9,10,ballad of the green berets,barry sadler,ssgt. barry sadler,1966,
10,11,good lovin',the rascals,the young rascals,1966,
11,12,(you're my) soul and inspiration,the righteous brothers,the righteous brothers,1966,
12,13,you can't hurry love,the supremes,the supremes,1966,
13,14,sunny,bobby hebb,bobby hebb,1966,
14,15,see you in september,the happenings,the happenings,1966,
15,16,li'l red riding hood,sam the sham,sam the sham and the pharaohs,1966,
16,17,lightnin' strikes,lou christie,lou christie,1966,
17,18,poor side of town,johnny rivers,johnny rivers,1966,
18,19,working in the coal mine,lee dorsey,lee dorsey,1966,
19,20,a groovy kind of love,the mindbenders,the mindbenders,1966,
20,21,you don't have to say you love me,dusty springfield,dusty springfield,1966,
21,22,sunshine superman,donovan,donovan,1966,
22,23,born a woman,sandy posey,sandy posey,1966,
23,24,"monday, monday",the mamas and the papas,the mamas & the papas,1966,
24,25,red rubber ball,the cyrkle,the cyrkle,1966,
25,26,born free,roger williams,roger williams,1966,
26,27,walk away renée,the left banke,the left banke,1966,
27,28,cool jerk,the capitols,the capitols,1966,
28,29,b-a-b-y,carla thomas,carla thomas,1966,
29,30,hanky panky,tommy james and the shondells,tommy james and the shondells,1966,
30,31,when a man loves a woman,percy sledge,percy sledge,1966,
31,32,time won't let me,the outsiders,the outsiders,1966,
32,33,bus stop,the hollies,the hollies,1966,
33,34,"paint it, black",the rolling stones,the rolling stones,1966,
34,35,summer in the city,the lovin' spoonful,the lovin' spoonful,1966,
35,36,i'm so lonesome i could cry,b. j. thomas,b. j. thomas & the triumphs,1966,
36,37,my love,petula clark,petula clark,1966,
37,38,daydream,the lovin' spoonful,the lovin' spoonful,1966,
38,39,ain't too proud to beg,the temptations,the temptations,1966,
39,40,wild thing,the troggs,the troggs,1966,
40,41,elusive butterfly,bob lind,bob lind,1966,
41,42,i am a rock,simon & garfunkel,simon & garfunkel,1966,
42,43,dirty water,the standells,the standells,1966,
43,44,hooray for hazel,tommy roe,tommy roe,1966,
44,45,crying time,ray charles,ray charles,1966,
45,46,sweet pea,tommy roe,tommy roe,1966,
46,47,secret agent man,johnny rivers,johnny rivers,1966,
47,48,did you ever have to make up your mind?,the lovin' spoonful,the lovin' spoonful,1966,
48,49,we can work it out,the beatles,the beatles,1966,
49,50,homeward bound,simon & garfunkel,simon & garfunkel,1966,
50,51,uptight (everything's alright),stevie wonder,stevie wonder,1966,
51,52,bang bang (my baby shot me down),cher,cher,1966,
52,53,sloop john b,the beach boys,the beach boys,1966,
53,54,19th nervous breakdown,the rolling stones,the rolling stones,1966,
54,55,wipe out,the surfaris,the surfaris,1966,
55,56,psychotic reaction,count five,count five,1966,
56,57,paperback writer,the beatles,the beatles,1966,
57,58,beauty is only skin deep,the temptations,the temptations,1966,
58,59,no matter what shape (your stomach's in),the t-bones,the t-bones,1966,
59,60,barefootin,robert parker,robert parker,1966,
60,61,just like me,paul revere & the raiders,paul revere & the raiders,1966,
61,62,love makes the world go round,deon jackson,deon jackson,1966,
62,63,the pied piper,crispian st. peters,crispian st. peters,1966,
